,var_name,range_key,n_unq_vals,info_from_api
346,SINK,False,3,True
347,KIT,False,3,True
348,FVALP,False,3,True
349,JWDP,False,142,True
350,WKEXREL,False,16,True
351,DPHY,False,3,True
352,NPF,True,15,True
353,FHINS3C,False,3,True
354,FDEARP,False,2,True
355,NPP,False,3,True
356,FHINS2P,False,2,True
357,FSCHLP,False,2,True
358,FRWATPRP,False,2,True
359,FPARC,False,5,True
360,MIGPUMA,True,154,True
361,HUGCL,False,3,True
362,DDRS,False,3,True
363,MARHD,False,3,True
364,SATELLITE,False,3,True
365,FULFP,False,4,True
366,POVPIP,True,502,True
367,BATH,False,3,True
368,WATP,True,132,True
369,FSATELLITEP,False,3,True
370,GCL,False,3,True
371,WKHP,True,79,True
372,FRNTP,False,3,True
373,NRC,True,13,True
374,HFL,False,10,True
375,FSMP,False,3,True
376,TYPE,False,3,True
377,FRMSP,False,3,True
378,POWPUMA,True,186,True
379,PARTNER,False,6,True
380,FELEP,False,3,True
381,CONP,True,82,True
382,FMIGP,False,2,True
383,HISP,False,21,True
384,FESRP,False,2,True
385,HHL,False,6,True
386,AGEP,True,97,True
387,SEMP,True,193,True
388,HHT,False,8,True
389,OCPIP,True,102,True
390,SCHG,False,17,True
391,FTAXP,False,3,True
392,MSP,False,7,True
393,RACBLK,False,2,True
394,FMRGTP,False,3,True
395,FER,False,3,True
396,PWGTP9,True,590,True
397,SCHL,False,25,True
398,PWGTP8,True,595,True
399,NATIVITY,False,2,True
400,PWGTP7,True,586,True
401,SMARTPHONE,False,3,True
402,PWGTP6,True,596,True
403,PWGTP5,True,567,True
404,PWGTP4,True,585,True
405,VEH,False,8,True
406,PWGTP3,True,598,True
407,PWGTP2,True,586,True
408,PWGTP1,True,587,True
409,HHT2,False,13,True
410,FDREMP,False,2,True
411,NWAB,False,4,True
412,FCONP,False,3,True
413,FYBLP,False,3,True
414,FOIP,False,2,True
415,FHINCP,False,3,True
416,BROADBND,False,3,True
417,NWAV,False,5,True
418,FDPHYP,False,2,True
419,FFODP,False,2,True
420,PAOC,False,5,True
421,FMARHMP,False,2,True
422,SSIP,True,105,True
423,FJWRIP,False,2,True
424,COMPOTHX,False,3,True
425,FSINKP,False,3,True
426,ELEP,True,67,True
427,FHFLP,False,3,True
428,WIF,False,5,True
429,FSMXSP,False,3,True
430,RETP,True,397,True
431,FSSP,False,2,True
432,PLMPRP,False,2,True
433,SCIENGP,False,3,True
434,CITWP,False,64,True
